,Suburb,2001_population,2002_population,2003_population,2004_population,2005_population,2006_population,2007_population,2008_population,2009_population,2010_population,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2019_population,2020_population,2021_population
453,NORTH BENDIGO,3331,3338,3316,3261,3217,3193,3183,3168,3163,3161,3173,3172,3168,3163,3161,3165,3179,3198,3226,3227,3203
464,GOLDEN SQUARE,11625,11696,11860,11929,11925,12030,12188,12379,12604,12822,13027,13249,13414,13543,13667,13809,13970,14138,14323,14469,14580
465,KANGAROO FLAT,5166,5198,5271,5302,5300,5347,5417,5502,5602,5699,5790,5888,5962,6019,6074,6137,6209,6283,6366,6430,6480
471,ECHUCA,11883,12132,12474,12546,12932,13119,13226,13343,13428,13526,13610,13686,13800,13912,13998,14104,14231,14342,14472,14601,14766
476,SWAN HILL,10077,10075,10067,10095,10088,10090,10228,10333,10516,10536,10610,10780,10888,10959,11022,11079,11147,11205,11251,11260,11169
480,SHEPPARTON,17346,17490,17649,17664,17706,17968,18369,18730,19315,19794,20010,20422,20735,20979,21219,21516,21875,22252,22671,23115,23307
490,SEYMOUR,6987,6888,6860,6773,6670,6570,6551,6513,6524,6526,6518,6507,6473,6432,6407,6403,6430,6472,6508,6528,6545
492,BENALLA,10247,10272,10289,10303,10306,10310,10317,10340,10375,10425,10471,10470,10468,10451,10425,10420,10478,10544,10607,10682,10750
497,WODONGA,15675,15826,15939,16048,16034,16051,16162,16310,16626,17028,17521,17999,18584,19185,19856,20521,21095,21630,22023,22442,22915
542,BERWICK,19094,19611,20228,20807,21209,21547,21826,22326,22695,22909,23042,23183,23336,23455,23614,23824,23901,23835,23858,23682,23187
545,PAKENHAM,7186,7514,8598,9869,11197,12437,14078,15787,17761,19806,21687,23781,25571,26800,28050,29580,30744,31751,32711,33538,33639
547,WARRAGUL,14203,14327,14501,14654,14959,15275,15561,15902,16225,16632,16964,17284,17635,18004,18466,19088,19753,20478,21251,22055,23080
549,MOE,15510,15550,15574,15536,15431,15377,15268,15260,15246,15341,15413,15378,15352,15311,15286,15309,15369,15440,15522,15611,15693
550,NEWBOROUGH,1551,1555,1557,1553,1543,1537,1526,1526,1524,1534,1541,1537,1535,1531,1528,1530,1536,1544,1552,1561,1569
552,MORWELL,14345,14268,14150,14001,13944,13936,13984,14053,14108,14207,14302,14265,14204,14111,14049,14024,14042,14094,14157,14258,14393
555,TRARALGON,22020,22239,22515,22828,23222,23844,24356,24888,25381,25844,26307,26566,26750,26888,27076,27361,27705,28028,28337,28586,28735
557,SALE,13676,13673,13685,13724,13820,13942,14019,14134,14222,14315,14441,14568,14666,14729,14781,14891,14906,14974,15057,15148,15259
561,MAFFRA,13002,12976,12958,12984,13023,13076,13157,13263,13371,13488,13595,13689,13739,13804,13873,13973,14125,14244,14400,14574,14693
564,BAIRNSDALE,6902,6918,6965,7052,7121,7235,7340,7429,7500,7611,7690,7817,7939,8089,8299,8513,8664,8794,8873,8878,8941
579,HASTINGS,8023,8079,8130,8182,8268,8473,8740,8996,9174,9328,9398,9581,9753,9958,10135,10282,10449,10612,10756,10870,10908
594,FLINDERS,1660,1675,1686,1684,1686,1703,1664,1644,1635,1619,1593,1593,1594,1596,1601,1612,1633,1655,1677,1699,1720
596,MORNINGTON,19118,19952,20347,20762,21151,21497,21966,22460,22854,23164,23224,23541,23942,24269,24633,25030,25492,25897,26218,26226,25909
598,DROMANA,3382,3422,3429,3433,3435,3454,3532,3621,3692,3699,3733,3833,3975,4110,4314,4581,4803,4983,5104,5260,5384
611,PORTSEA,1318,1347,1365,1369,1372,1378,1381,1385,1387,1388,1389,1413,1436,1458,1477,1499,1530,1561,1596,1634,1665
621,HAMPTON PARK,20384,20853,21566,22212,22485,22646,22851,23377,23904,24432,24744,24973,25295,25765,26239,26780,27087,27361,27505,27334,26384
622,CRANBOURNE,13392,13480,13766,14282,14665,15071,15913,17059,18016,18859,19169,19510,19926,20250,20568,20888,21197,21397,21493,21642,21580
