,Suburb,Schools
748,MUCKLEFORD,1
749,MULGRAVE,2
750,MURRUMBEENA,1
751,MURTOA,1
752,MYRTLEFORD,2
753,Macarthur,1
754,Macclesfield,1
755,Macedon,1
756,Macleod,1
757,Macleod West,1
758,Maffra,2
759,Magpie,1
760,Maiden Gully,1
761,Maldon,1
762,Mallacoota,1
763,Malmsbury,1
764,Malvern,1
765,Malvern East,3
766,Manangatang,1
767,Manifold Heights,1
768,Mansfield,2
769,Maribyrnong,1
770,Marlo,1
771,Marnoo,1
772,Marong,1
773,Maroona,1
774,Maryborough,1
775,Marysville,1
776,Mckinnon,1
777,Meadow Heights,2
778,Meeniyan,1
779,Melbourne,2
780,Melton,4
781,Melton South,3
782,Melton West,2
783,Mentone,3
784,Menzies Creek,1
785,Merbein,1
786,Meredith,1
787,Merino,1
788,Mernda,3
789,Merrigum,1
790,Merrijig,1
791,Metung,1
792,Mickleham,2
793,Middle Park,1
794,Milawa,1
795,Mildura,6
796,Mildura South,1
797,Mill Park,5
798,Millgrove,1
799,Miners Rest,1
800,Minyip,1
801,Mirboo North,2
802,Mitcham,4
803,Mitta Mitta,1
804,Moe,4
805,Monbulk,2
806,Mont Albert,1
807,Mont Albert North,2
808,Montmorency,3
809,Montrose,2
810,Moolap,1
811,Moonambel,1
812,Moonee Ponds,2
813,Moorabbin,4
814,Moorooduc,1
815,Mooroolbark,7
816,Mooroopna,3
817,Mordialloc,3
818,Moriac,1
819,Mornington,5
820,Mortlake,1
821,Morwell,3
822,Mount Beauty,2
823,Mount Clear,2
824,Mount Dandenong,1
825,Mount Duneed,2
826,Mount Egerton,1
827,Mount Eliza,4
828,Mount Evelyn,3
829,Mount Macedon,1
830,Mount Martha,2
831,Mount Waverley,7
832,Moyhu,1
833,Moyston,1
834,Mulgrave,3
835,Murchison,1
836,Murrabit,1
837,Murrayville,1
838,Murrumbeena,1
839,Murtoa,1
840,Myrniong,1
841,Myrrhee,1
842,Myrtleford,1
843,NAGAMBIE,1
844,NAR NAR GOON,1
845,NARRE WARREN,2
846,NARRE WARREN NORTH,4
847,NARRE WARREN SOUTH,2
848,NATHALIA,2
849,NEW GISBORNE,2
850,NEWBOROUGH,1
851,NEWCOMB,1
852,NEWPORT,2
853,NEWTOWN,4
854,NHILL,2
855,NIDDRIE,1
856,NOBLE PARK,1
857,NOBLE PARK NORTH,1
858,NORLANE,1
859,NORTH FITZROY,1
860,NORTH MELBOURNE,4
861,NORTHCOTE,2
862,NUMURKAH,1
863,NUNAWADING,2
864,Nagambie,1
865,Nambrok,1
866,Nangiloc,1
867,Nanneella,1
868,Napoleons,1
869,Nar Nar Goon,1
870,Narracan,1
871,Narrawong,1
872,Narre  Warren  North,1
873,Narre Warren,6
874,Narre Warren South,3
875,Nathalia,2
876,Natimuk,1
877,Natte Yallock,1
878,Navarre,1
879,Neerim South,2
880,Nerrina,1
881,New Gisborne,1
882,Newborough,3
883,Newcomb,2
884,Newham,1
885,Newhaven,1
886,Newlyn,1
887,Newmerella,1
888,Newport,2
889,Newstead,1
890,Newtown,3
891,Nhill,1
892,Nichols Point,1
893,Nicholson,1
894,Niddrie,3
895,Nilma,1
896,Noble Park,7
897,Noble Park North,1
898,Noorat,1
899,North Geelong,1
900,North Melbourne,1
901,Northcote,4
902,Nullawarre,1
903,Nullawil,1
904,Numurkah,2
905,Nunawading,1
906,Nungurner,1
907,Nyah West,1
908,Nyora,1
909,OAK PARK,1
910,OAKLEIGH,2
911,OAKLEIGH EAST,1
912,OCEAN GROVE,1
913,OFFICER,2
914,ORBOST,1
915,ORMOND,2
916,Oak Park,1
917,Oakleigh,1
918,Oakleigh East,1
919,Oakleigh South,3
920,Ocean Grove,2
921,Officer,5
922,Olinda,1
923,Omeo,1
924,Orbost,3
925,Ormond,3
926,Orrvale,1
927,Osbornes Flat,1
928,Ouyen,1
929,Oxley,1
930,PAKENHAM,3
931,PARK ORCHARDS,1
932,PARKDALE EAST,1
933,PASCOE VALE,1
934,PASCOE VALE SOUTH,1
935,PENSHURST,1
936,POINT COOK,3
937,PORT FAIRY,1
938,PORTLAND,3
939,PRAHRAN EAST,1
940,PRESTON,2
941,PRESTON EAST,1
942,PRESTON WEST,1
943,PYRAMID HILL,1
944,Pakenham,8
945,Panmure,1
946,Panton Hill,1
947,Park Orchards,1
948,Parkdale,2
949,Parkville,3
950,Pascoe Vale,4
951,Pascoe Vale South,1
952,Patterson Lakes,1
953,Paynesville,1
