,SA2,2005_income,2006_income,2007_income,2008_income,2009_income
1553,403031070,36261,38125,39232,41206,43014
1554,403041071,37835,39693,40938,43256,44718
1555,403041072,30874,32534,33712,36340,37798
1556,403041073,30059,31516,33349,34692,36553
1557,403041074,31202,32898,33994,36355,37791
1558,403041075,42180,45659,46140,48795,49126
1559,403041076,41256,42870,44689,47280,49610
1560,403041077,37640,39483,40694,43023,44492
1561,403041078,30872,32242,33751,35903,37350
1562,403041079,30872,32244,33749,35897,37355
1563,403041080,37597,39417,40674,42941,44417
1564,403041082,43258,52385,51396,55569,65376
1565,403041083,36958,37912,39124,40132,40164
1566,403041084,32558,33992,35649,37691,38563
1567,403041085,32558,33994,35652,37691,38563
1568,403041086,32680,34441,35565,37513,38567
1569,403041087,32683,34160,35584,38114,39635
1570,403041088,33979,35306,36300,38091,38756
1571,403041089,32529,33958,35610,37657,38536
1572,404011090,35464,37349,39268,41234,42590
1573,404011091,34758,36448,37882,40061,40768
1574,404011092,41263,43762,45262,47174,49935
1575,404011093,36029,37460,39149,41344,42433
1576,404011094,33823,35396,36907,39321,41145
1577,404011095,36583,38850,40335,42358,44307
1578,404011096,42604,44286,44475,48002,50033
1579,404011097,33003,35166,36567,38698,40103
1580,404021099,37670,39574,41419,44369,45868
1581,404021100,37212,39213,40944,43795,45569
1582,404021101,32849,35312,36594,38894,40533
1583,404021102,31598,33073,35091,36874,38322
1584,404031104,34814,46338,76284,52082,56711
1585,404031105,38749,40563,41716,43062,44814
1586,404031106,36342,38668,39838,42356,44334
1587,404031107,37197,39283,40395,42339,42994
1588,404031108,36545,38665,40097,42601,43267
1589,404031109,38754,40565,41720,43064,44829
1590,405011110,34980,36440,38698,40018,39803
1591,405011111,33072,34570,36959,39051,39981
1592,405011112,36198,37433,38950,40992,43290
1593,405011113,32447,34233,37047,39126,39290
1594,405011114,36153,38670,38220,40054,40793
1595,405011115,38957,40477,42214,45712,46039
1596,405021116,32892,35332,38107,39083,39384
1597,405021117,28664,32324,36018,36512,34781
1598,405021118,24047,26038,31222,31123,31103
1599,405021119,27803,30459,34100,36543,34533
1600,405031120,27083,33773,36164,35158,36713
1601,405031121,25183,28337,30959,31982,32505
1602,405031122,33517,35475,37606,39002,40513
